,car_exist,condition,position,damage_condition,Estimated_Amount
0,1,damage,Side,Severe,$410-1000
1,1,damage,Front,Severe,$510-1200
2,1,damage,Front,Severe,$510-1200
3,1,damage,Rear,Severe,$510-1200
4,1,damage,Rear,Moderate,$200-500
5,1,damage,Front,Severe,$510-1200
6,1,damage,Rear,Severe,$510-1200
7,1,damage,Rear,Severe,$510-1200
8,1,damage,Rear,Severe,$510-1200
9,1,damage,Front,Severe,$510-1200
10,1,damage,Front,Severe,$510-1200
11,1,damage,Side,Minor,$50-200
12,1,damage,Front,Severe,$510-1200
13,2,damage,Front,Moderate,$200-500
14,1,damage,Rear,Severe,$510-1200
15,1,damage,Side,Moderate,$200-400
16,1,damage,Rear,Severe,$510-1200
17,1,damage,Front,Severe,$510-1200
18,1,damage,Front,Severe,$510-1200
19,1,damage,Rear,Severe,$510-1200
20,1,damage,Side,Severe,$410-1000
21,1,damage,Side,Severe,$410-1000
22,1,damage,Rear,Severe,$510-1200
23,1,damage,Side,Severe,$410-1000
24,2,damage,Rear,Severe,$510-1200
25,1,damage,Rear,Severe,$510-1200
26,1,damage,Rear,Severe,$510-1200
27,1,damage,Rear,Severe,$510-1200
28,1,damage,Rear,Severe,$510-1200
29,1,damage,Rear,Severe,$510-1200
30,1,damage,Rear,Severe,$510-1200
31,1,damage,Rear,Severe,$510-1200
32,1,damage,Rear,Severe,$510-1200
33,1,damage,Rear,Severe,$510-1200
34,1,damage,Rear,Severe,$510-1200
35,1,damage,Rear,Severe,$510-1200
36,1,damage,Rear,Severe,$510-1200
